store name, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/1183378/float-hybrid-blend?recommended=false&fromMenu=true"">Hybrid Blend </a><br><a href=""https://www.leafly.com/search?q=Hybrid Blend "">Leafly</a>",<class 'filter'>,Float,Ground,$25.00,3.5g,24.63%,862.05mg,0.029/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/817864/prime-wellness-kaliburst-49?recommended=false&fromMenu=true"">Kaliburst #49</a><br><a href=""https://www.leafly.com/search?q=Kaliburst #49"">Leafly</a>",<class 'filter'>,Prime Wellness,Flower,$41.25,3.5g,21.01%,735.35mg,0.056/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/629484/penn-health-group-pineapple-express?recommended=false&fromMenu=true"">Pineapple Express</a><br><a href=""https://www.leafly.com/search?q=Pineapple Express"">Leafly</a>",<class 'filter'>,Penn Health Group,Flower,$40.00,3.5g,24.23%,848.05mg,0.047/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/1177258/penn-health-group-gigabud?recommended=false&fromMenu=true"">Gigabud</a><br><a href=""https://www.leafly.com/search?q=Gigabud"">Leafly</a>",<class 'filter'>,Penn Health Group,Smalls,$60.06,7.0g,18.26%,1278.20mg,0.047/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/842916/matter-icc-wedding-cake-x-gelato-33?recommended=false&fromMenu=true"">ICC (Wedding Cake x Gelato #33)</a><br><a href=""https://www.leafly.com/search?q=ICC (Wedding Cake x Gelato #33)"">Leafly</a>",<class 'filter'>,matter.,Smalls,$60.00,7.0g,21.06%,1474.20mg,0.041/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/789783/cresco-funky-pine?recommended=false&fromMenu=true"">Funky Pine</a><br><a href=""https://www.leafly.com/search?q=Funky Pine"">Leafly</a>",<class 'filter'>,Cresco,Premium Flower,$55.00,3.5g,33.44%,1170.40mg,0.047/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/959759/grassroots-terpenado?recommended=false&fromMenu=true"">Terpenado</a><br><a href=""https://www.leafly.com/search?q=Terpenado"">Leafly</a>",<class 'filter'>,Grassroots,Flower,$17.50,1.0g,20.55%,205.50mg,0.085/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/778158/matter-sunset-mac-ssb-x-alc-x-columbian-x-starfighter?recommended=false&fromMenu=true"">Sunset Mac (SSB x ALC x Columbian x Starfighter)</a><br><a href=""https://www.leafly.com/search?q=Sunset Mac (SSB x ALC x Columbian x Starfighter)"">Leafly</a>",<class 'filter'>,matter.,Smalls,$60.00,7.0g,19.18%,1342.60mg,0.045/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4415/products/972847/maitri-genetics-snt-2?recommended=false&fromMenu=true"">SNT #2</a><br><a href=""https://www.leafly.com/search?q=SNT #2"">Leafly</a>",<class 'filter'>,Maitri Genetics,Flower,$55.00,3.5g,28.47%,996.45mg,0.055/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/598125/insa-apple-fritter?recommended=false&fromMenu=true"">Apple Fritter</a><br><a href=""https://www.leafly.com/search?q=Apple Fritter"">Leafly</a>",<class 'filter'>,INSA,Flower,$32.40,3.5g,21.92%,767.20mg,0.042/mg
